NO,Polygon Points
1,"(3196.613, 347.222); (3194.088, 371.074); (3188.426, 374.960); (3180.645, 372.221); (3166.545, 365.531); (3146.440, 345.005); (3144.513, 334.217); (3145.047, 327.669); (3155.651, 320.051); (3171.484, 318.287); (3177.132, 321.278); (3179.501, 323.504); (3192.546, 340.970)"
2,"(2588.959, 1846.502); (2505.458, 1835.361); (2505.325, 1823.338); (2505.311, 1821.982); (2505.057, 1798.858); (2512.611, 1799.775); (2573.660, 1811.188); (2588.938, 1816.466)"
3,"(3132.984, 3638.741); (3100.710, 3635.738); (3085.911, 3585.762); (3080.640, 3560.967); (3080.775, 3554.339); (3095.452, 3552.199); (3376.721, 3549.033); (3419.254, 3550.110); (3441.556, 3561.778); (3484.906, 3613.540); (3485.104, 3614.114); (3485.599, 3631.102); (3440.486, 3635.595); (3305.374, 3637.123)"
4,"(3064.772, 3451.071); (3065.837, 3438.264); (3071.152, 3437.039); (3073.668, 3437.709); (3073.987, 3461.778); (3070.862, 3463.179)"
5,"(2935.439, 750.785); (2930.507, 766.024); (2905.617, 798.593); (2901.312, 804.095); (2896.781, 808.582); (2854.583, 821.163); (2844.018, 823.419); (2829.387, 817.509); (2824.723, 801.786); (2858.353, 755.149); (2861.073, 751.559); (2868.093, 743.928); (2889.756, 727.305); (2895.629, 724.264); (2902.430, 722.419); (2925.899, 731.910); (2931.393, 736.325); (2935.373, 748.860)"
6,"(674.500, 3063.465); (18.322, 3063.214); (17.744, 3010.863); (17.721, 3008.769); (17.274, 2968.235); (17.217, 2963.049); (12.780, 2559.900); (9.304, 2243.956); (12.562, 2240.385); (104.109, 2142.832); (165.794, 2077.932); (175.474, 2067.936); (180.477, 2063.725); (884.764, 2063.770); (983.974, 2064.941); (1001.790, 2078.343); (1008.000, 2168.717); (1008.473, 2571.282); (1007.626, 2963.328); (1001.976, 3022.525); (992.087, 3042.643); (967.794, 3060.765); (892.618, 3062.981)"
7,"(1897.417, 343.439); (1897.330, 317.154); (1897.336, 315.771); (1897.492, 313.962); (1898.117, 312.355); (1898.879, 311.074); (1902.289, 306.729); (1942.615, 309.933); (1942.356, 319.814); (1941.642, 328.162); (1934.044, 340.082); (1931.753, 342.821)"
8,"(1365.816, 758.503); (1291.747, 735.724); (1291.619, 724.124); (1291.341, 698.860); (1289.283, 511.802); (1296.551, 511.722); (1490.375, 509.588); (1542.287, 509.017); (1541.470, 516.563); (1534.375, 580.675); (1438.599, 686.273); (1383.806, 741.600)"
9,"(8.893, 730.200); (8.850, 726.243); (71.251, 655.850); (285.477, 431.478); (294.310, 422.530); (296.879, 422.501); (301.635, 422.448); (568.276, 419.513); (575.671, 424.498); (570.405, 433.741); (537.362, 470.790); (449.864, 565.888); (152.115, 883.352); (27.733, 1007.127); (12.026, 1015.021)"
10,"(1819.957, 1142.367); (1837.939, 1224.527); (1815.050, 1234.821); (1700.999, 1268.488); (1691.914, 1270.556); (1680.228, 1270.794); (1655.057, 1266.838); (1559.853, 1237.478); (1542.539, 1231.724); (1418.726, 1187.644); (1417.183, 1176.912); (1417.052, 1157.482); (1416.967, 1142.823); (1416.969, 1142.766); (1417.088, 1142.039); (1419.058, 1135.649); (1421.701, 1131.339); (1422.143, 1130.854); (1428.549, 1129.220); (1492.827, 1127.704); (1769.074, 1125.728); (1788.522, 1129.823); (1807.229, 1134.990); (1812.838, 1137.921)"
